id,scientificName,eventDate,decimalLongitude,decimalLatitude,collectionCode
0325629f-d084-493c-9975-d2904c133475,Isurus oxyrinchus,1989-03-26T12:00:00Z,18.35499954,-34.05279922,LINE
0327687f-981b-4404-9d80-7c00f77e3bb8,Isurus oxyrinchus,4/11/1986,173.283333,-34.733333,MPI Tagging
032fd919-aba2-465a-83d2-69b61853a861,Isurus oxyrinchus,2/25/1997,177.983333,-37.5,MPI Tagging
033e6de3-955e-4ecc-bb6b-ca48421c7872,Isurus oxyrinchus,3/16/2005,173.933333,-39.016667,MPI Tagging
0346011d-8165-438a-9ed5-72bd050b4d4b,Isurus oxyrinchus,1994-04-20T12:00:00Z,18.49720001,-34.35689926,LINE
034f6fe3-0381-40d5-8df4-9e7d5a75907f,Isurus oxyrinchus,1992-07-12T00:00:00Z,-42.85000038,43.30833244,
03561e75-14be-4466-a0f0-93185d46765a,Isurus oxyrinchus,2/22/1997,173.966667,-34.958333,MPI Tagging
035809bd-8e13-47d6-a4b9-ec101a3a38fd,Isurus oxyrinchus,1878-00-00,151.166,-33.833,Ichthyology
035b28b1-5fe7-4901-9603-ebc690b198a6,Isurus oxyrinchus,0000-00-00,-17,25,IC
035da2b5-7df3-438d-b420-94237330a171,Isurus oxyrinchus,1995-08-14T00:00:00Z,-68.14999771,40.41666794,
035faff8-dacd-446e-b3ff-a08b408bf04a,Isurus oxyrinchus,,93.67076667,2.972466667,ll_YugNIRO
03621b59-6e1c-4672-9834-d3997f8616a4,Isurus oxyrinchus,12/27/1985,176.266667,-37.183333,MPI Tagging
0363f97a-49f3-4757-8986-97c620c9c9c6,Isurus oxyrinchus,1994-05-06T12:00:00Z,18.49720001,-34.35689926,LINE
03647128-5180-48f8-b595-928cf5d89386,Isurus oxyrinchus,1994-07-26T00:00:00Z,-46.92500114,43.38333321,
03688c43-23fd-41a4-95d1-23afae8d6c20,Isurus oxyrinchus,1/24/1988,177.8,-39.166667,MPI Tagging
036f584f-a1b2-4b75-84ab-dc5ec3d28477,Isurus oxyrinchus,7/24/1991,178.6,-36.816667,MPI Tagging
03754e34-9f52-49ba-8e20-9c10ef57424b,Isurus oxyrinchus,,-47.06999969,-30.20000076,
03772c18-c10b-4c1c-9ab2-0e78bf7bc330,Isurus oxyrinchus,,65.33533333,-3.335333333,ll_YugNIRO
0380f4b7-655d-4aee-8978-3f39f7be84c0,Isurus oxyrinchus,2004-10-26T00:00:00Z,-71.3666687,39.91666603,
03892433-1f9c-416f-b877-e48a5f5b65e9,Isurus oxyrinchus,2/16/2012,177.8,-37.583,MPI Tagging
039166f3-64a3-45d5-8657-6ade34b1baf7,Isurus oxyrinchus,2/5/2005,174.382333,-37.204167,MPI Tagging
03998361-5324-4009-aa7a-88c69ce3d57f,Isurus oxyrinchus,,30.23329926,-31.04999924,SHARKS
039b7107-74d7-4132-8d42-b58fea3e84bb,Isurus oxyrinchus,1993-03-05T00:00:00Z,-88.78333664,27.46666718,
039d3f43-99a5-41b6-915b-c7a71ad881cc,Isurus oxyrinchus,10/4/1998,151.1,-34.066,Ichthyology
03a44aeb-670d-402b-8fc7-5600164d0265,Isurus oxyrinchus,1/15/2012,173.783,-34.8,MPI Tagging
03b59413-5794-4cab-8802-cf18371bdb8d,Isurus oxyrinchus,,64.40241,22.57009667,ll_YugNIRO
03ba7072-075e-49f9-b46a-cdeb811530b4,Isurus oxyrinchus,2/21/2009,175.95,-37.55,MPI Tagging
03c06543-e96b-4942-8b70-e90c990956ba,Isurus oxyrinchus,3/5/2010,174.333,-37.083,MPI Tagging
03c5cda9-eaa4-41e1-a50f-f16ef85a6365,Isurus oxyrinchus,2003-03-09T00:00:00Z,-74.80833435,35.85833359,
03c9000c-05f3-4b45-98e3-28ef4040b5a5,Isurus oxyrinchus,12/28/1996,174.666667,-35.45,MPI Tagging
03cb94cf-c2e7-4544-8778-2054995df6e0,Isurus oxyrinchus,1990-12-09T12:00:00Z,18.06999969,-34.34999847,SHARKS
03e6ab9a-ee67-499a-af59-812291876e8b,Isurus oxyrinchus,3/3/2011,177.883,-37.55,MPI Tagging
03f08586-2832-43b7-8116-e05de64b4b11,Isurus oxyrinchus,,60.11746667,-8.3521,ll_YugNIRO
03f6acea-acbc-4dab-9115-82cc24fa11a2,Isurus oxyrinchus,2004-10-03T00:00:00Z,-71.75833511,39.70833397,
040a9924-c674-4fad-b282-41b6bfe2d728,Isurus oxyrinchus,1/24/2004,174.124433,-35.182167,MPI Tagging
040ca956-a5f9-4bc9-8c56-ed960d3f3527,Isurus oxyrinchus,2001,154.25,-30.25,Comfish_2000_2002
